PARENT_ID,ACCT_ID,INDICATION,TOTAL_TRX,DATE,DISTRICT
32305657,145881023,A,5,2021-08-05,CHICAGO IL
32305657,145881023,A,5,2021-02-25,CHICAGO IL
32305657,145881023,A,6,2020-10-13,CHICAGO IL
32305657,145881023,A,2,2021-06-02,CHICAGO IL
32305657,145881023,A,2,2021-07-06,CHICAGO IL
32305657,145881023,A,2,2021-05-20,CHICAGO IL
32305657,145881023,A,2,2021-02-26,CHICAGO IL
32305657,145881023,A,1,2021-07-23,CHICAGO IL
32305657,145881023,A,1,2021-07-12,CHICAGO IL
32305657,145881023,A,2,2021-05-04,CHICAGO IL
32305657,145881023,A,2,2021-05-11,CHICAGO IL
32305657,145881023,A,1,2021-06-08,CHICAGO IL
32305657,145881023,A,1,2021-06-17,CHICAGO IL
32305657,145881023,A,1,2021-06-23,CHICAGO IL
32305657,145881023,A,1,2021-04-07,CHICAGO IL
32305657,145881023,A,1,2021-04-14,CHICAGO IL
32305657,145881023,A,1,2021-04-21,CHICAGO IL
32305657,145881023,A,2,2021-01-12,CHICAGO IL
32305657,145881023,A,2,2021-01-20,CHICAGO IL
32305657,145881023,A,2,2021-01-22,CHICAGO IL
32305657,145881023,A,1,2020-12-09,CHICAGO IL
32305657,145881023,A,1,2020-12-17,CHICAGO IL
32305657,145881023,A,1,2020-12-29,CHICAGO IL
32305657,145881023,A,1,2020-11-23,CHICAGO IL
32305657,145881023,A,2,2020-10-12,CHICAGO IL
32305657,145881023,A,2,2020-08-12,CHICAGO IL
32305657,145881023,A,1,2021-07-22,CHICAGO IL
32305657,145881023,A,1,2020-04-20,CHICAGO IL
32007779,30101083,A,1,2021-06-29,NEW ENGLAND
31668733,246144867,A,1,2020-11-09,NASHVILLE TN
245431717,155093549,A,1,2021-02-23,NEW YORK NY
32305657,145881023,A,2,2020-03-20,CHICAGO IL
32305657,145881023,B,0,2020-10-13,CHICAGO IL
31646955,157438725,A,1,2021-05-20,WASHINGTON DC
32305657,145881023,B,0,2021-02-25,CHICAGO IL
46604711,159776387,A,1,2020-03-05,NEW YORK NY
32305657,145881023,A,1,2020-10-02,CHICAGO IL
32305657,145881023,A,1,2020-08-04,CHICAGO IL
32305657,145881023,A,1,2020-09-24,CHICAGO IL
32305657,145881023,C,1,2021-02-25,CHICAGO IL
32068489,106178319,A,0,2021-06-22,WASHINGTON DC
32305657,145881023,B,0,2021-08-05,CHICAGO IL
32305657,145881023,A,1,2020-07-01,CHICAGO IL
32305657,145881023,A,1,2020-07-15,CHICAGO IL
255605895,2002614079,A,0,2021-05-20,NEW ENGLAND
56025405,30213987,A,0,2021-06-29,PHILADELPHIA PA
32305657,145881023,A,1,2020-05-12,CHICAGO IL
32305657,145881023,A,1,2020-05-20,CHICAGO IL
32305657,145881023,A,1,2020-06-01,CHICAGO IL
32305657,145881023,A,1,2020-06-15,CHICAGO IL
32305657,145881023,A,1,2020-06-25,CHICAGO IL
255605895,2002614079,A,0,2021-05-10,NEW ENGLAND
32305657,145881023,A,1,2020-03-23,CHICAGO IL
32068489,106178319,A,0,2020-11-25,WASHINGTON DC
32305657,145881023,C,0,2020-10-13,CHICAGO IL
